PRVDR_NUM,ST_ADR,CITY_NAME,STATE_CD,ZIP_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,ADDRESS,LAT,LONG
07G101,195 ALVORD PARK ROAD,TORRINGTON,CT,6790.0,5.0,R,"195 ALVORD PARK ROAD,TORRINGTON,CT",41.821321616814146,-73.10243373872643
07G102,22 CLAPBOARD RIDGE RD,DANBURY,CT,6810.0,1.0,U,"22 CLAPBOARD RIDGE RD,DANBURY,CT",41.4082165,-73.4680148
07G103,8 CARRIAGE DRIVE,BURLINGTON,CT,6013.0,3.0,U,"8 CARRIAGE DRIVE,BURLINGTON,CT",41.79863251467861,-72.99482916539338
07G104,POST OFFICE BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"POST OFFICE BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G105,22 NORTH PLEASANT DRIVE,BROOKFIELD,CT,6804.0,1.0,U,"22 NORTH PLEASANT DRIVE,BROOKFIELD,CT",0.0,0.0
07G106,P.O.BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"P.O.BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G107,49 TUNNEL RD,VERNON,CT,6066.0,13.0,U,"49 TUNNEL RD,VERNON,CT",41.83481764528454,-72.46779656517879
07G108,38 LITTLE HILLS ROAD,STAMFORD,CT,6906.0,1.0,U,"38 LITTLE HILLS ROAD,STAMFORD,CT",0.0,0.0
07G109,240 ORAL SCHOOL ROAD,MYSTIC,CT,6355.0,11.0,U,"240 ORAL SCHOOL ROAD,MYSTIC,CT",0.0,0.0
07G110,88 BURNHAM RD,WEST HARTFORD,CT,6110.0,3.0,U,"88 BURNHAM RD,WEST HARTFORD,CT",41.78878669708989,-72.85785580090524
07G111,139 HIGH STREET,COVENTRY,CT,6238.0,13.0,U,"139 HIGH STREET,COVENTRY,CT",41.763695817866726,-72.30223739204428
07G112,255 TRYON STREET,GLASTONBURY,CT,6033.0,3.0,U,"255 TRYON STREET,GLASTONBURY,CT",41.6316731,-72.6270105
07G113,200 BROOK ST,HAMDEN,CT,6514.0,9.0,U,"200 BROOK ST,HAMDEN,CT",41.355003,-72.944829
07G114,1 WINTERGREN AVE,NEW HAVEN,CT,6514.0,9.0,U,"1 WINTERGREN AVE,NEW HAVEN,CT",0.0,0.0
07G115,29 CREAMERY RD,CHESHIRE,CT,6410.0,9.0,U,"29 CREAMERY RD,CHESHIRE,CT",41.528720006977544,-72.89171943114123
07G116,21 CREAMERY RD,CHESHIRE,CT,6410.0,9.0,U,"21 CREAMERY RD,CHESHIRE,CT",41.52870160276778,-72.89139381819919
07G117,59 DUNN HILL RD,TOLLAND,CT,6084.0,13.0,U,"59 DUNN HILL RD,TOLLAND,CT",41.875913155780076,-72.3750031959878
07G118,123 SCRUB OAK,NORTH HAVEN,CT,6473.0,9.0,U,"123 SCRUB OAK,NORTH HAVEN,CT",0.0,0.0
07G119,1655 RIDGE ROAD,NORTH HAVEN,CT,6473.0,9.0,U,"1655 RIDGE ROAD,NORTH HAVEN,CT",41.382520862742304,-72.8912217314688
07G120,190 NORTH ST,TRUMBULL,CT,6611.0,1.0,U,"190 NORTH ST,TRUMBULL,CT",41.24875723526197,-73.15976477320234
07G121,PO BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"PO BOX 51,MANSFIELD DEPOT,CT",41.8090222,-72.29371485714458
07G122,515 MAPLE HILL AVE,NEWINGTON,CT,6111.0,3.0,U,"515 MAPLE HILL AVE,NEWINGTON,CT",41.678054762095,-72.74222645089117
07G123,521 MAPLE HILL AVE,NEWINGTON,CT,6111.0,3.0,U,"521 MAPLE HILL AVE,NEWINGTON,CT",41.67791451727857,-72.7421975012731
07G124,1021 MAPLE ST,ROCKY HILL,CT,6067.0,3.0,U,"1021 MAPLE ST,ROCKY HILL,CT",41.668699744231816,-72.67209486564529
07G125,1069 MAPLE ST,ROCKY HILL,CT,6067.0,3.0,U,"1069 MAPLE ST,ROCKY HILL,CT",41.66942605547378,-72.67089002524818
07G126,180 OLYMPUS PKWY,MIDDLETOWN,CT,6457.0,7.0,U,"180 OLYMPUS PKWY,MIDDLETOWN,CT",41.554866048783296,-72.70117613016366
07G127,15 MARSHALL ST,ROCKY HILL,CT,6067.0,3.0,U,"15 MARSHALL ST,ROCKY HILL,CT",0.0,0.0
07G128,38 GREAT POND RD,SIMSBURY,CT,6070.0,3.0,U,"38 GREAT POND RD,SIMSBURY,CT",41.882237,-72.818507
07G129,P. O. BOX 872,SOUTHBURY,CT,6488.0,9.0,U,"P. O. BOX 872,SOUTHBURY,CT",0.0,0.0
07G130,8 BERTOLI DRIVE,LITCHFIELD,CT,6759.0,5.0,R,"8 BERTOLI DRIVE,LITCHFIELD,CT",41.76607074336898,-73.17711038593319
07G131,146 SILVERMINE AVENUE,NORWALK,CT,6850.0,1.0,U,"146 SILVERMINE AVENUE,NORWALK,CT",41.136368,-73.439617
07G132,50 TAOS DRIVE,DANIELSON,CT,6239.0,15.0,U,"50 TAOS DRIVE,DANIELSON,CT",0.0,0.0
07G133,411 WETHERELL ST,MANCHESTER,CT,6040.0,3.0,U,"411 WETHERELL ST,MANCHESTER,CT",41.758950497520466,-72.5574909376061
07G134,RT 44 PO BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"RT 44 PO BOX 51,MANSFIELD DEPOT,CT",41.8096354,-72.29653578967485
07G135,52 TAOS DR,DANIELSON,CT,6239.0,15.0,U,"52 TAOS DR,DANIELSON,CT",0.0,0.0
07G136,505 MIDDLE TNPK,STORRS,CT,6268.0,13.0,U,"505 MIDDLE TNPK,STORRS,CT",0.0,0.0
07G137,751 NORTH RD,GROTON,CT,6340.0,11.0,U,"751 NORTH RD,GROTON,CT",41.368596,-72.026054
07G138,PO BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"PO BOX 51,MANSFIELD DEPOT,CT",41.8090222,-72.29371485714458
07G139,977 UPPER MAPLE ST,DAYVILLE,CT,6241.0,15.0,U,"977 UPPER MAPLE ST,DAYVILLE,CT",41.84030979209524,-71.89580046359316
07G140,135 TWO STONE DRIVE,WETHERSFIELD,CT,6109.0,3.0,U,"135 TWO STONE DRIVE,WETHERSFIELD,CT",41.67655819274438,-72.66713613480086
07G141,490 AMITY ROAD,WOODBRIDGE,CT,6525.0,9.0,U,"490 AMITY ROAD,WOODBRIDGE,CT",41.3389325,-72.9805961
07G142,15 MAPLE ST,EAST HAVEN,CT,6512.0,9.0,U,"15 MAPLE ST,EAST HAVEN,CT",41.316686663451634,-72.84135143541631
07G143,56 COPPER MILL RD,WETHERSFIELD,CT,6109.0,3.0,U,"56 COPPER MILL RD,WETHERSFIELD,CT",0.0,0.0
07G144,8 POUND SWEET HILL,BETHEL,CT,6801.0,1.0,U,"8 POUND SWEET HILL,BETHEL,CT",41.3970466,-73.3906102
07G145,41 WEST STREET,NEWTOWN,CT,6470.0,1.0,U,"41 WEST STREET,NEWTOWN,CT",41.4091677,-73.3127822
07G146,156 LONG MEADOW HILL ROAD,BROOKFIELD,CT,6804.0,1.0,U,"156 LONG MEADOW HILL ROAD,BROOKFIELD,CT",41.5012766,-73.4007893
07G147,27 RIDGE ROAD,NEWTOWN,CT,6470.0,1.0,U,"27 RIDGE ROAD,NEWTOWN,CT",41.4010154,-73.3095953
07G148,8 WHIPPOORWILL RD,BETHEL,CT,6801.0,1.0,U,"8 WHIPPOORWILL RD,BETHEL,CT",41.3680229,-73.3969781
07G149,26 JANET DRIVE,NORTH HAVEN,CT,6473.0,9.0,U,"26 JANET DRIVE,NORTH HAVEN,CT",41.37640556367066,-72.8899291083967
07G150,11 WEST MEATH LN,UNIONVILLE,CT,6085.0,3.0,U,"11 WEST MEATH LN,UNIONVILLE,CT",0.0,0.0
07G151,225 DUNCASTER ROAD,BLOOMFIELD,CT,6002.0,3.0,U,"225 DUNCASTER ROAD,BLOOMFIELD,CT",41.88148534992893,-72.75661887086291
07G152,723 PLAINVILLE AVE,FARMINGTON,CT,6032.0,3.0,U,"723 PLAINVILLE AVE,FARMINGTON,CT",41.715126996546694,-72.88171855462899
07G153,24 EVANS DRIVE,SIMSBURY,CT,6070.0,3.0,U,"24 EVANS DRIVE,SIMSBURY,CT",41.8201976,-72.8469608
07G154,67/69/73/75 MOUNTAIN RD.,NEWINGTON,CT,6111.0,3.0,U,"67/69/73/75 MOUNTAIN RD.,NEWINGTON,CT",41.7005867457818,-72.71482070806455
07G155,1 AVON STREET,ENFIELD,CT,6082.0,3.0,U,"1 AVON STREET,ENFIELD,CT",41.986801,-72.549894
07G156,40 CLIFFORD ST,HARTFORD,CT,6114.0,3.0,U,"40 CLIFFORD ST,HARTFORD,CT",41.74019600589413,-72.68541816398645
07G157,71 MOUNTAIN ROAD,NEWINGTON,CT,6111.0,3.0,U,"71 MOUNTAIN ROAD,NEWINGTON,CT",41.7014888,-72.7156503
07G158,81/83 MOUNTAIN ROAD,NEWINGTON,CT,6111.0,3.0,U,"81/83 MOUNTAIN ROAD,NEWINGTON,CT",41.71719,-72.7161806
